channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,z_scored,fdr_alpha,fdr_method
AF3,-0.8476951918184228,0.28099107759207914,-3.0168046582925325,-3.0168046582925325,0.0025545437256047545,0.02928269260685233,True,True,lbfgs,n1,mean ~ onoff_label,False,0.05,indep
AF4,-0.7026706655826449,0.2619880294925457,-2.682071646340765,-2.682071646340765,0.007316778774621678,0.03902282013131562,True,True,lbfgs,n1,mean ~ onoff_label,False,0.05,indep
AF7,-0.7944952714396957,0.27843264734309164,-2.8534558681284916,-2.8534558681284916,0.004324653419452992,0.03902282013131562,True,True,lbfgs,n1,mean ~ onoff_label,False,0.05,indep
AF8,-0.5065966727797637,0.24660347173382413,-2.0542965969537037,-2.0542965969537037,0.039946993917624324,0.07670941749172949,False,True,lbfgs,n1,mean ~ onoff_label,False,0.05,indep
AFz,-0.5482554097463117,0.29968939298935915,-1.8294121265939438,-1.8294121265939438,0.06733789233092721,0.09576944687065203,False,True,lbfgs,n1,mean ~ onoff_label,False,0.05,indep
C1,-0.5796955143349092,0.25099286440140717,-2.30960954096215,-2.30960954096215,0.02090978091128906,0.06089022809224982,False,True,lbfgs,n1,mean ~ onoff_label,False,0.05,indep
C2,-0.6988194122038544,0.2905790938774499,-2.404919785793597,-2.404919785793597,0.016176015946223574,0.057514723364350484,False,True,lbfgs,n1,mean ~ onoff_label,False,0.05,indep
C3,-0.5320936618944767,0.26005952406909405,-2.046045665118987,-2.046045665118987,0.040751878042481295,0.07670941749172949,False,True,lbfgs,n1,mean ~ onoff_label,False,0.05,indep
C4,-0.546563256650679,0.26276537962836777,-2.0800428786459233,-2.0800428786459233,0.03752160012355319,0.07653907025180424,False,True,lbfgs,n1,mean ~ onoff_label,False,0.05,indep
C5,-0.3883656240810563,0.2368920934087357,-1.6394199506311373,-1.6394199506311373,0.10112582945978207,0.12690300167502064,False,True,lbfgs,n1,mean ~ onoff_label,False,0.05,indep
C6,-0.5148653285799963,0.24178199029234232,-2.1294610403258933,-2.1294610403258933,0.03321613491971477,0.07653907025180424,False,True,lbfgs,n1,mean ~ onoff_label,False,0.05,indep
CP1,-0.5856966015775402,0.254829741824046,-2.298384000961513,-2.298384000961513,0.0215399432877569,0.06089022809224982,False,True,lbfgs,n1,mean ~ onoff_label,False,0.05,indep
CP2,-0.6477040352431634,0.25845960392532175,-2.506016512469424,-2.506016512469424,0.012209991751624925,0.054921837647098924,False,True,lbfgs,n1,mean ~ onoff_label,False,0.05,indep
CP3,-0.40056356029325274,0.2514882044267079,-1.5927727553122295,-1.5927727553122295,0.11121117915778253,0.13429274464336002,False,True,lbfgs,n1,mean ~ onoff_label,False,0.05,indep
CP4,-0.5759666437691021,0.23156460612777044,-2.4872827216578206,-2.4872827216578206,0.01287230569853881,0.054921837647098924,False,True,lbfgs,n1,mean ~ onoff_label,False,0.05,indep
CP5,-0.3022849527253037,0.18745107236317143,-1.6126072201905084,-1.6126072201905084,0.10682986885433403,0.1314829155130265,False,True,lbfgs,n1,mean ~ onoff_label,False,0.05,indep
CP6,-0.45669040865941574,0.21006553295072158,-2.1740377978454415,-2.1740377978454415,0.02970229668401323,0.07311334568372488,False,False,nm,n1,mean ~ onoff_label,False,0.05,indep
